,model,dataset,id,CHOTA,HOTA,SEG,TRA,DET,idp,idr,idf1,mota,motp,num_switches,num_unique_objects,num_frames,num_instances,weights_x,normalized_length,normalized_instances,weights_y,normalized_weights
73,Trackmate,Lysosomes - Airyscan Confocal,8-1.,1.0,1.0,0.9964045856873972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,250,3,0.07088083979251386,0.1294665976178146,0.012295081967213115,8.625241953969319,0.00821783784974225
74,Trackmate,Lysosomes - Airyscan Confocal,8-2.,0.8747028078840972,0.8747028078840972,0.9839254362279825,1.0,1.0,0.6611295681063123,0.6567656765676567,0.6567656765676567,0.9867986798679867,1.0,4.0,3.0,250,3,0.07088083979251386,0.1294665976178146,0.012295081967213115,8.625241953969319,0.00821783784974225
75,Trackmate,Lysosomes - Airyscan Confocal,8-3.,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,2.0,250,2,0.068831659464645,0.1294665976178146,0.00819672131147541,8.625241953969319,0.00798025838950162
76,Trackmate,Lysosomes - Airyscan Confocal,9-1.,0.5610056320326813,0.5610056320326813,0.9441745673394462,0.9819328875940558,0.9849038461538462,0.5216874628639334,0.4221153846153846,0.4221153846153846,0.9125,1.0,182.0,21.0,500,22,0.17454856483092934,0.2589331952356292,0.09016393442622951,8.625241953969319,0.020236947063334548
77,Trackmate,Lysosomes - Airyscan Confocal,9-2.,0.6498855600058847,0.6498855600058847,0.938019160455581,0.9887140838436176,0.9898312418866292,0.5785340314136126,0.5737775854608395,0.5737775854608395,0.9865858935525746,1.0,31.0,14.0,500,14,0.15815512220797853,0.2589331952356292,0.05737704918032787,8.625241953969319,0.018336311381409523
78,Trackmate,MOTChallenge - DIC,A-10-run03,0.8938769289525107,0.8938769289525107,0.8107388696148343,0.8684081898658557,0.9054161462473032,1.0,0.8108138744048968,0.8108138744048968,1.0,1.0,0.0,6.0,1891,6,0.501937754157788,0.9792853443811497,0.02459016393442623,8.625241953969319,0.05819404914511381
79,Trackmate,MOTChallenge - DIC,A-10-run05,0.895819268666077,0.895819268666077,0.918839730442426,0.9435724296088672,0.959419865221213,0.9113621896880968,0.8371583101885689,0.8371583101885689,1.0,1.0,0.0,6.0,1571,6,0.41907913168238664,0.813568099430347,0.02459016393442623,8.625241953969319,0.04858752182476774
80,Trackmate,MOTChallenge - DIC,BPAE-run03,0.9028147511010152,0.9028147511010152,0.8829199046665107,0.9229842145721726,0.942568863916678,0.9557228334298398,0.8482252980676991,0.8482252980676991,0.9999314786898724,1.0,2.0,24.0,1803,24,0.516036878878692,0.9337131020196789,0.09836065573770492,8.625241953969319,0.059828684416349955
81,Trackmate,MOTChallenge - DIC,BPAE-run05,0.8155517833053075,0.8155517833053075,0.8381793262847084,0.8878333751358582,0.9187935592405672,0.9068038879359634,0.7623167507810622,0.7623167507810622,0.9998798365777456,1.0,1.0,10.0,1775,10,0.4800982248219304,0.9192128430864837,0.040983606557377046,8.625241953969319,0.05566200083245087
82,Trackmate,MOTChallenge - DIC,CRE-BAG2-run01,0.6221278043132497,0.6221278043132497,0.5957493274420015,0.741044912677721,0.7975218096193932,0.8198924731182796,0.4944800432332278,0.4944800432332278,0.9993823824596618,1.0,16.0,57.0,1931,57,0.6168032786885246,1.0,0.2336065573770492,8.625241953969319,0.07151141753242911
