,id,frame_id,oid,hid,score_vs_top_post,switch,score_vs_top_pre,diff_vs_top
178,group1.centroids_sample_1_6952_8452,1259,4,7,-6.4401836,False,3.426578,-9.866762
179,group1.centroids_sample_1_6952_8452,1260,1,7,-8.520128,True,5.4777884,-13.997917
180,group1.centroids_sample_1_6952_8452,1260,4,1,-1.2819426,True,1.9663076,-3.2482502
181,group1.centroids_sample_1_6952_8452,1260,5,5,-0.5419884,True,4.1316833,-4.6736717
182,group1.centroids_sample_1_6952_8452,1260,7,9,-4.8811116,True,0.0,-4.8811116
183,group1.centroids_sample_1_6952_8452,1261,1,1,-2.7656627,False,4.415866,-7.1815286
184,group1.centroids_sample_1_6952_8452,1261,4,7,-6.483714,False,3.277368,-9.761082
185,group1.centroids_sample_1_6952_8452,1263,1,7,-8.643375,False,5.8082743,-14.45165
186,group1.centroids_sample_1_6952_8452,1263,4,1,-1.6778786,False,2.6116493,-4.289528
187,group1.centroids_sample_1_6952_8452,1264,1,1,-3.933505,False,5.4612155,-9.39472
188,group1.centroids_sample_1_6952_8452,1264,4,7,-6.6101217,False,3.093904,-9.704025
189,group1.centroids_sample_1_6952_8452,1265,1,7,-8.656036,False,5.642302,-14.298338
190,group1.centroids_sample_1_6952_8452,1265,4,1,-2.0314388,False,3.2686734,-5.3001122
191,group1.centroids_sample_1_6952_8452,1266,1,1,-4.033155,False,5.526538,-9.559692
192,group1.centroids_sample_1_6952_8452,1266,4,7,-6.6700916,False,3.2577963,-9.927888
193,group1.centroids_sample_1_6952_8452,1267,1,7,-8.391315,False,5.4362936,-13.827609
194,group1.centroids_sample_1_6952_8452,1267,4,1,-1.6673465,False,2.7607396,-4.4280863
195,group1.centroids_sample_1_6952_8452,1268,1,1,-2.2370954,False,4.5924897,-6.829585
196,group1.centroids_sample_1_6952_8452,1268,4,7,-6.602479,False,3.1514416,-9.753921
197,group1.centroids_sample_1_6952_8452,1269,1,7,-8.026523,False,4.770475,-12.796997
198,group1.centroids_sample_1_6952_8452,1269,4,1,-1.3662567,False,2.5972102,-3.963467
199,group1.centroids_sample_1_6952_8452,1270,1,1,-2.42444,False,4.7500753,-7.1745152
200,group1.centroids_sample_1_6952_8452,1270,4,7,-6.4370384,False,2.8361404,-9.273179
201,group1.centroids_sample_1_6952_8452,1271,1,7,-8.244907,False,4.8505793,-13.095487
202,group1.centroids_sample_1_6952_8452,1271,4,1,-1.3168983,False,2.9775937,-4.294492
203,group1.centroids_sample_1_6952_8452,1272,1,1,-2.7243958,False,4.9429474,-7.667343
204,group1.centroids_sample_1_6952_8452,1272,4,7,-6.8274536,False,3.4421103,-10.269564
