video_path,track_name,x,y,condition,x(µm),y(µm),t(s),frames,total_distance,net_displacement,frame,is_moving,confinement_ratio,count,mean,std,min,25%,50%,75%,max
razzbery,1,223.0,58.0,cmt,12.293156565656563,3.198613861386139,322.25919000000005,499,24.784123123502972,3.199225107227559,summary,True,0.12908365130714305,448.0,0.07921452129433833,0.0838971792029049,0.0,0.0,0.08535987771366943,0.12074146348909344,1.3684250894531873
razzbery,2,790.0,43.0,cmt,43.54974747474747,2.3713861386138615,178.24356,276,7.673105924798918,4.652971046623107,summary,True,0.6063999496716245,139.0,0.08308126664904804,0.08731584574185774,0.0,0.0,0.08535987771367258,0.12074146348909824,0.42686141792442506
razzbery,3,428.0,56.0,cmt,23.594040404040403,3.0883168316831684,308.69718,478,17.355032113528225,5.348384895550667,summary,True,0.3081748774974382,339.0,0.07103017019595587,0.06107489448659545,0.0,0.0,0.08535987771366708,0.0853943340169506,0.512159266281983
razzbery,4,258.0,57.0,cmt,14.222575757575756,3.1434653465346534,40.68603,63,4.096191589004704,0.9983839942880482,summary,True,0.24373469174830187,32.0,0.13672255308319844,0.08307215396407183,0.0,0.08535987771366571,0.12074146348910181,0.19088590093395053,0.3078554294355549
razzbery,5,279.0,56.0,cmt,15.380227272727272,3.0883168316831684,322.25919000000005,499,18.292704927491037,0.19878525660006743,summary,False,0.01086691429113497,395.0,0.06975461970293748,0.0533436881590202,0.0,0.0,0.08535987771366567,0.08539433401694896,0.25607963314099713
razzbery,6,229.0,56.0,cmt,12.62391414141414,3.0883168316831684,317.09271,491,3.7627659645395584,0.38588383838383855,summary,True,0.10255323929801155,28.0,0.04112893732249062,0.04803450639972182,0.002188714813170954,0.011902087562247601,0.021902874159997907,0.0603707317445499,0.19093212891518324
razzbery,7,273.0,56.0,cmt,15.049469696969695,3.0883168316831684,293.19774,454,1.1832989711092339,0.055126262626261635,summary,False,0.04658692686480226,12.0,0.0320906295125229,0.043124233065367355,0.0,0.0022532701682067675,0.008417687384247497,0.0439789938326232,0.1280398165705013
razzbery,8,437.0,60.0,cmt,24.090176767676766,3.308910891089109,322.25919000000005,499,5.315371661865146,0.7354910908199539,summary,True,0.13837058584194517,73.0,0.08011280756116844,0.05626158233233468,0.0,0.024398381147699457,0.08539433401694307,0.12074146348909538,0.1909321289151893
razzbery,9,404.0,58.0,cmt,22.271010101010102,3.198613861386139,198.90948,308,1.1967220104404064,1.1694140664219514,summary,True,0.9771810464082588,2.0,0.0350905836667626,0.01267136604378388,0.026130574810306062,0.03061057923853433,0.0350905836667626,0.039570588094990866,0.044050592523219134
razzbery,10,749.0,32.0,cmt,41.2895707070707,1.7647524752475248,317.73852,492,0.0,0.0,summary,False,,0.0,,,,,,,
